Item,Fixation,Prime,Mask,Target,Corr_response,Related,Block_Name,Target_cat
1,+,dandelion,&&&&&&&&&&&&,tulip,1,1,PRACTICE,FLOWER
2,+,carnation,&&&&&&&&&&&&,rose,1,1,PRACTICE,FLOWER
3,+,microwave,&&&&&&&&&&&&,daisy,1,0,PRACTICE,FLOWER
4,+,backpack,&&&&&&&&&&&&,lily,1,0,PRACTICE,FLOWER
5,+,lizard,&&&&&&&&&&&&,snake,2,1,PRACTICE,REPTILE
6,+,worm,&&&&&&&&&&&&,caterpillar,2,1,PRACTICE,BUG
7,+,orchid,&&&&&&&&&&&&,toaster,2,0,PRACTICE,APPLIANCE
8,+,lilac,&&&&&&&&&&&&,suitcase,2,0,PRACTICE,BAG
9,+,car,&&&&&&&&&&&&,truck,1,1,VEHICLE,VEHICLE
10,+,van,&&&&&&&&&&&&,ambulance,1,1,VEHICLE,VEHICLE
11,+,helicopter,&&&&&&&&&&&&,airplane,1,1,VEHICLE,VEHICLE
12,+,sailboat,&&&&&&&&&&&&,canoe,1,1,VEHICLE,VEHICLE
13,+,bike,&&&&&&&&&&&&,plum,2,0,VEHICLE,FRUIT
14,+,motorcycle,&&&&&&&&&&&&,rake,2,0,VEHICLE,TOOL
15,+,trolley,&&&&&&&&&&&&,stork,2,0,VEHICLE,BIRD
16,+,taxi,&&&&&&&&&&&&,belt,2,0,VEHICLE,CLOTHING
17,+,nectarine,&&&&&&&&&&&&,tangerine,2,1,VEHICLE,FRUIT
18,+,chainsaw,&&&&&&&&&&&&,jackhammer,2,1,VEHICLE,TOOL
19,+,bluejay,&&&&&&&&&&&&,cardinal,2,1,VEHICLE,BIRD
20,+,pajamas,&&&&&&&&&&&&,nightgown,2,1,VEHICLE,CLOTHING
21,+,raisin,&&&&&&&&&&&&,submarine,1,0,VEHICLE,VEHICLE
22,+,saw,&&&&&&&&&&&&,rollerblades,1,0,VEHICLE,VEHICLE
23,+,pigeon,&&&&&&&&&&&&,segway,1,0,VEHICLE,VEHICLE
24,+,dress,&&&&&&&&&&&&,jeep,1,0,VEHICLE,VEHICLE
25,+,giraffe,&&&&&&&&&&&&,elephant,1,1,MAMMAL,MAMMAL
26,+,dog,&&&&&&&&&&&&,cat,1,1,MAMMAL,MAMMAL
27,+,horse,&&&&&&&&&&&&,zebra,1,1,MAMMAL,MAMMAL
28,+,donkey,&&&&&&&&&&&&,camel,1,1,MAMMAL,MAMMAL
29,+,lion,&&&&&&&&&&&&,scooter,2,0,MAMMAL,VEHICLE
30,+,cow,&&&&&&&&&&&&,orange,2,0,MAMMAL,FRUIT
31,+,sheep,&&&&&&&&&&&&,axe,2,0,MAMMAL,TOOL
32,+,raccoon,&&&&&&&&&&&&,raven,2,0,MAMMAL,BIRD
33,+,sleigh,&&&&&&&&&&&&,snowmobile,2,1,MAMMAL,VEHICLE
34,+,apricot,&&&&&&&&&&&&,fig,2,1,MAMMAL,FRUIT
35,+,microscope,&&&&&&&&&&&&,compass,2,1,MAMMAL,TOOL
36,+,pheasant,&&&&&&&&&&&&,goose,2,1,MAMMAL,BIRD
37,+,kayak,&&&&&&&&&&&&,panda,1,0,MAMMAL,MAMMAL
38,+,pear,&&&&&&&&&&&&,tiger,1,0,MAMMAL,MAMMAL
39,+,ladder,&&&&&&&&&&&&,rabbit,1,0,MAMMAL,MAMMAL
40,+,flamingo,&&&&&&&&&&&&,whale,1,0,MAMMAL,MAMMAL
41,+,knife,&&&&&&&&&&&&,sword,1,1,WEAPON,WEAPON
42,+,slingshot,&&&&&&&&&&&&,spear,1,1,WEAPON,WEAPON
43,+,cannon,&&&&&&&&&&&&,grenade,1,1,WEAPON,WEAPON
44,+,club,&&&&&&&&&&&&,bat,1,1,WEAPON,WEAPON
45,+,rifle,&&&&&&&&&&&&,cheetah,2,0,WEAPON,MAMMAL
46,+,bow,&&&&&&&&&&&&,tractor,2,0,WEAPON,VEHICLE
47,+,bomb,&&&&&&&&&&&&,honeydew,2,0,WEAPON,FRUIT
48,+,whip,&&&&&&&&&&&&,sledgehammer,2,0,WEAPON,TOOL
49,+,gorilla,&&&&&&&&&&&&,monkey,2,1,WEAPON,MAMMAL
50,+,limousine,&&&&&&&&&&&&,yacht,2,1,WEAPON,VEHICLE
51,+,papaya,&&&&&&&&&&&&,mango,2,1,WEAPON,FRUIT
52,+,calculator,&&&&&&&&&&&&,computer,2,1,WEAPON,TOOL
53,+,koala,&&&&&&&&&&&&,taser,1,0,WEAPON,WEAPON
54,+,wheelchair,&&&&&&&&&&&&,artillery,1,0,WEAPON,WEAPON
55,+,tomato,&&&&&&&&&&&&,catapult,1,0,WEAPON,WEAPON
56,+,clamp,&&&&&&&&&&&&,machete,1,0,WEAPON,WEAPON
57,+,celery,&&&&&&&&&&&&,carrot,1,1,VEGETABLE,VEGETABLE
58,+,broccoli,&&&&&&&&&&&&,cauliflower,1,1,VEGETABLE,VEGETABLE
59,+,radish,&&&&&&&&&&&&,cucumber,1,1,VEGETABLE,VEGETABLE
60,+,potato,&&&&&&&&&&&&,turnip,1,1,VEGETABLE,VEGETABLE
61,+,peas,&&&&&&&&&&&&,shotgun,2,0,VEGETABLE,WEAPON
62,+,onions,&&&&&&&&&&&&,buffalo,2,0,VEGETABLE,MAMMAL
63,+,lettuce,&&&&&&&&&&&&,subway,2,0,VEGETABLE,VEHICLE
64,+,pepper,&&&&&&&&&&&&,cranberry,2,0,VEGETABLE,FRUIT
65,+,armor,&&&&&&&&&&&&,shield,2,1,VEGETABLE,WEAPON
66,+,rat,&&&&&&&&&&&&,hamster,2,1,VEGETABLE,MAMMAL
67,+,barge,&&&&&&&&&&&&,hovercraft,2,1,VEGETABLE,VEHICLE
68,+,blackberry,&&&&&&&&&&&&,pomegranate,2,1,VEGETABLE,FRUIT
69,+,mace,&&&&&&&&&&&&,corn,1,0,VEGETABLE,VEGETABLE
